#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

# Core System
,docker,"is a container platform"
,docker-compose,"is a tool for defining multi-container Docker applications"
,docker-buildx,"is the Docker Buildx plugin"
,gcc-fortran,"provides GNU Fortran compiler"
,git,"is a distributed version control system"
,go,"is the Go programming language"
,just,"is a command runner"
,meson,"is a build system"
,neovim,"is a Vim-based text editor"
,pre-commit,"is a framework for managing pre-commit hooks"
A,vscodium-insiders-bin,"provides free/libre open source binaries of VSCode"
A,agru,"is a fast ansible-galaxy replacement"
,nmap,"is a network exploration tool"
,openbsd-netcat,"is the OpenBSD netcat"
,tcpdump,"is a network packet analyzer"
,wireshark-qt,"is a network protocol analyzer"
,rclone,"is a cloud storage synchronization tool"
,smbclient,"is an SMB/CIFS client"
,pass,"is the standard Unix password manager"
,pass-otp,"is the OTP extension for pass"
A,pass-import,"imports data to the pass password store"
,android-tools,"provides Android SDK platform tools"
,scrcpy,"is an Android screen mirroring tool"
A,simple-mtpfs,"enables mounting of cell phones"
,7zip,"is a file archiver with high compression ratio"
,atool,"is an archive tool wrapper"
,unzip,"is an extraction utility for ZIP archives"
,zip,"creates ZIP archives"
,yt-dlp,"can download YouTube videos"
,btop,"is a resource monitor"
,htop,"is an interactive process viewer"
,nvtop,"is a GPU process monitor"
,fastfetch,"is a system information fetching tool"
,cpio,"copies files to/from archives"
,foot,"is a fast, lightweight Wayland terminal emulator"
,wev,"is a Wayland event viewer"
,wl-clipboard,"provides Wayland clipboard utilities"
,wtype,"is a Wayland keyboard input tool"
,arch-install-scripts,"provides Arch Linux installation scripts"
,ncdu,"is a disk usage analyzer"
,vulkan-intel,"provides Intel Vulkan drivers"
,wlroots0.18,"is the wlroots Wayland compositor library"
,grim,"is a screenshot tool for Wayland"
,slurp,"is a region selection tool for Wayland screenshots"
A,grimblast-git,"is a screenshot tool for Hyprland"
,pulsemixer,"is a CLI/curses mixer for PulseAudio"
,playerctl,"is a media player controller"
,chafa,"provides terminal graphics for the 21st century"
,imagemagick,"is an image manipulation library"
,texlive-binextra,"provides extra TeX Live binaries"
,texlive-fontsrecommended,"provides recommended TeX Live fonts"
,texlive-latex,"is the LaTeX TeX Live distribution"
,texlive-latexextra,"provides extra LaTeX TeX Live packages"

# Applications
,firefox,"is a web browser"
,qutebrowser,"is a keyboard-driven web browser"
A,brave-bin,"is a privacy-focused web browser"
,torbrowser-launcher,"is the Tor Browser launcher"
,signal-desktop,"is the Signal messenger desktop app"
,thunderbird,"is an email client"
,steam,"is a gaming platform"
,luanti,"is a voxel game and game creation platform"
,gnome-chess,"is a chess game for GNOME"
,transmission-gtk,"is the BitTorrent client GTK+ interface"
,newsboat,"is an RSS/Atom feed reader"
,ollama,"allows running large language models locally"
,elisa,"is a music player"
,mixxx,"is DJ software"
,mpv,"is a media player"
,pavucontrol,"is a PulseAudio volume control"
,nsxiv,"is Neo Simple X Image Viewer"
,file-roller,"is an archive manager for GNOME"
,veracrypt,"is disk encryption software"
,pdfjs,"is a PDF reader in JavaScript"
,xournalpp,"is handwriting notetaking software"
,zathura,"is a document viewer"
,zathura-pdf-poppler,"provides PDF support for Zathura"
,network-manager-applet,"is the NetworkManager system tray applet"
,networkmanager-dmenu,
,nm-connection-editor,"is the NetworkManager connection editor"
,blueman,"is a GTK+ Bluetooth manager"
,qemu-desktop,"is the desktop QEMU emulator"
,qemu-emulators-full,"provides all QEMU emulators"
,virt-manager,"is a virtual machine manager"
,virt-viewer,"is a virtual machine viewer"
A,waydroid,"is an Android container for Linux"
,wlsunset,"is a blue light filter for Wayland"
,swappy,"is a Wayland screenshot editor"
,rofi,"is an application launcher"
,rofi-rbw,"is a rofi frontend for Bitwarden"
,cliphist,"is a Wayland clipboard manager"
,thunar,"is a file manager for Xfce"
,thunar-archive-plugin,"is an archive plugin for Thunar"
,thunar-media-tags-plugin,"is a media tags plugin for Thunar"
,thunar-volman,"is the Thunar volume manager"
,nwg-displays,"is an output management utility for sway and Hyprland Wayland compositors"
,nwg-look,"is a GTK settings editor for Wayland"
A,noctalia-shell,"is my custom Hyprland shell"
A,noctalia-qs,"is my custom quick settings"
